run,session,idx,label,spend
comb-opt-tsp-autoresearch,session_01,2,Bash,0.06783075
comb-opt-tsp-autoresearch,session_01,3,Bash,0.014874899999999996
comb-opt-tsp-autoresearch,session_01,4,Bash,0.009860250000000001
comb-opt-tsp-autoresearch,session_01,5,Bash,0.009032700000000005
comb-opt-tsp-autoresearch,session_01,6,Bash,0.010103249999999994
comb-opt-tsp-autoresearch,session_01,7,Bash,0.009360449999999992
comb-opt-tsp-autoresearch,session_01,8,Bash,0.009451950000000015
comb-opt-tsp-autoresearch,session_01,9,Bash,0.008710649999999986
comb-opt-tsp-autoresearch,session_01,10,Bash,0.011627250000000006
comb-opt-tsp-autoresearch,session_01,11,Bash,0.010565849999999988
comb-opt-tsp-autoresearch,session_01,12,Bash,0.012221700000000002
comb-opt-tsp-autoresearch,session_01,13,TodoWrite,0.010455450000000005
comb-opt-tsp-autoresearch,session_01,14,Read,0.016511250000000005
comb-opt-tsp-autoresearch,session_01,15,Read,0.01150124999999999
comb-opt-tsp-autoresearch,session_01,17,Read,0.041511750000000014
comb-opt-tsp-autoresearch,session_01,18,TodoWrite,0.05246040000000002
comb-opt-tsp-autoresearch,session_01,19,TodoWrite,0.036894150000000014
comb-opt-tsp-autoresearch,session_01,20,Edit,0.026244600000000007
comb-opt-tsp-autoresearch,session_01,21,Edit,0.02517164999999999
comb-opt-tsp-autoresearch,session_01,22,Edit,0.022486649999999997
comb-opt-tsp-autoresearch,session_01,23,Edit,0.021114299999999975
comb-opt-tsp-autoresearch,session_01,24,Edit,0.020724750000000014
comb-opt-tsp-autoresearch,session_01,25,Edit,0.019538100000000003
comb-opt-tsp-autoresearch,session_01,26,Grep,0.0229839
comb-opt-tsp-autoresearch,session_01,27,Edit,0.020044649999999997
comb-opt-tsp-autoresearch,session_01,28,Grep,0.022574699999999948
comb-opt-tsp-autoresearch,session_01,29,Edit,0.02019974999999996
comb-opt-tsp-autoresearch,session_01,30,Edit,0.0265185
comb-opt-tsp-autoresearch,session_01,31,TodoWrite,0.024933450000000024
comb-opt-tsp-autoresearch,session_01,32,Bash,0.022601250000000017
comb-opt-tsp-autoresearch,session_01,33,Edit,0.023674949999999972
comb-opt-tsp-autoresearch,session_01,34,Bash,0.034996049999999945
comb-opt-tsp-autoresearch,session_01,35,Read,0.02184134999999998
comb-opt-tsp-autoresearch,session_01,36,Read,0.02367779999999997
comb-opt-tsp-autoresearch,session_01,37,Bash,0.021546900000000035
comb-opt-tsp-autoresearch,session_01,38,Bash,0.04678934999999995
comb-opt-tsp-autoresearch,session_01,39,Edit,0.029659349999999973
comb-opt-tsp-autoresearch,session_01,40,Bash,0.031034099999999953
comb-opt-tsp-autoresearch,session_01,41,TodoWrite,0.025268549999999945
comb-opt-tsp-autoresearch,session_01,42,Read,0.026826449999999946
comb-opt-tsp-autoresearch,session_01,43,Edit,0.026554949999999966
comb-opt-tsp-autoresearch,session_01,44,TodoWrite,0.030275849999999993
comb-opt-tsp-autoresearch,session_01,45,none,0.029569650000000003
comb-opt-tsp-autoresearch,session_02,3,TodoWrite,0.22228094999999998
comb-opt-tsp-autoresearch,session_02,4,Edit,0.03744390000000003
comb-opt-tsp-autoresearch,session_02,5,Edit,0.03049305000000002
comb-opt-tsp-autoresearch,session_02,6,TodoWrite,0.028495500000000007
comb-opt-tsp-autoresearch,session_02,7,Bash,0.027697499999999986
comb-opt-tsp-autoresearch,session_02,8,Read,0.027307799999999993
comb-opt-tsp-autoresearch,session_02,9,Bash,0.02961075000000002
comb-opt-tsp-autoresearch,session_02,10,TodoWrite,0.032826750000000016
comb-opt-tsp-autoresearch,session_02,11,Edit,0.03138914999999998
comb-opt-tsp-autoresearch,session_02,12,TodoWrite,0.034489049999999966
comb-opt-tsp-autoresearch,session_02,13,none,0.03139784999999995
comb-opt-tsp-autoresearch,session_03,3,TodoWrite,0.25085595
comb-opt-tsp-autoresearch,session_03,4,Edit,0.04127114999999998
comb-opt-tsp-autoresearch,session_03,5,TodoWrite,0.031538999999999984
comb-opt-tsp-autoresearch,session_03,6,Bash,0.02937390000000001
comb-opt-tsp-autoresearch,session_03,7,Read,0.028993500000000005
comb-opt-tsp-autoresearch,session_03,8,Read,0.031731149999999986
comb-opt-tsp-autoresearch,session_03,9,Read,0.02962874999999998
comb-opt-tsp-autoresearch,session_03,10,Bash,0.029501549999999988
comb-opt-tsp-autoresearch,session_03,11,TodoWrite,0.02923365
comb-opt-tsp-autoresearch,session_03,12,Edit,0.036078449999999984
comb-opt-tsp-autoresearch,session_03,13,TodoWrite,0.03697634999999999
comb-opt-tsp-autoresearch,session_03,14,none,0.03166950000000002
comb-opt-tsp-autoresearch,session_04,3,none,0.2762022
comb-opt-tsp-autoresearch-unlimited,session_01,2,Read,0.06888825
comb-opt-tsp-autoresearch-unlimited,session_01,3,Read,0.015391050000000003
comb-opt-tsp-autoresearch-unlimited,session_01,5,Read,0.0411396
comb-opt-tsp-autoresearch-unlimited,session_01,6,Bash,0.05716589999999999
comb-opt-tsp-autoresearch-unlimited,session_01,7,Write,0.032529450000000015
comb-opt-tsp-autoresearch-unlimited,session_01,8,Bash,0.030974100000000004
comb-opt-tsp-autoresearch-unlimited,session_01,9,Read,0.019858050000000016
comb-opt-tsp-autoresearch-unlimited,session_01,10,Bash,0.021025499999999975
comb-opt-tsp-autoresearch-unlimited,session_01,11,TodoWrite,0.027280799999999994
comb-opt-tsp-autoresearch-unlimited,session_01,12,Read,0.02388600000000002
comb-opt-tsp-autoresearch-unlimited,session_01,13,Write,0.018905850000000002
comb-opt-tsp-autoresearch-unlimited,session_01,14,Bash,0.13671029999999995
comb-opt-tsp-autoresearch-unlimited,session_01,15,TaskOutput,0.046376399999999984
comb-opt-tsp-autoresearch-unlimited,session_01,16,Write,0.02063174999999995
comb-opt-tsp-autoresearch-unlimited,session_01,17,TaskOutput,0.046527899999999955
comb-opt-tsp-autoresearch-unlimited,session_01,18,Write,0.025138050000000023
comb-opt-tsp-autoresearch-unlimited,session_01,19,TaskOutput,0.14007899999999995
comb-opt-tsp-autoresearch-unlimited,session_01,20,TodoWrite,0.04939395000000002
comb-opt-tsp-autoresearch-unlimited,session_01,21,TaskOutput,0.056743650000000034
comb-opt-tsp-autoresearch-unlimited,session_01,22,Bash(bg),0.027874049999999984
comb-opt-tsp-autoresearch-unlimited,session_01,23,TodoWrite,0.05623199999999995
comb-opt-tsp-autoresearch-unlimited,session_01,24,Read,0.03212115000000004
comb-opt-tsp-autoresearch-unlimited,session_01,25,TaskOutput,0.030752399999999902
comb-opt-tsp-autoresearch-unlimited,session_01,26,Bash,0.029357700000000042
comb-opt-tsp-autoresearch-unlimited,session_01,27,TaskOutput,0.029416050000000027
comb-opt-tsp-autoresearch-unlimited,session_01,28,Read,0.030373800000000006
comb-opt-tsp-autoresearch-unlimited,session_01,29,Edit,0.06105120000000008
comb-opt-tsp-autoresearch-unlimited,session_01,30,TaskOutput,0.04367399999999999
comb-opt-tsp-autoresearch-unlimited,session_01,31,TaskOutput,0.034604700000000044
comb-opt-tsp-autoresearch-unlimited,session_01,32,TaskStop,0.06511785000000003
comb-opt-tsp-autoresearch-unlimited,session_01,33,Bash,0.08706465000000008
comb-opt-tsp-autoresearch-unlimited,session_01,34,Bash,0.04080689999999998
comb-opt-tsp-autoresearch-unlimited,session_01,35,TodoWrite,0.04209525000000003
comb-opt-tsp-autoresearch-unlimited,session_01,36,Edit,0.04411484999999993
comb-opt-tsp-autoresearch-unlimited,session_01,37,Bash(bg),0.0445179
comb-opt-tsp-autoresearch-unlimited,session_01,38,TodoWrite,0.04401300000000008
comb-opt-tsp-autoresearch-unlimited,session_01,39,TaskOutput,0.04258424999999999
comb-opt-tsp-autoresearch-unlimited,session_01,40,Bash,0.040424550000000004
comb-opt-tsp-autoresearch-unlimited,session_01,41,Edit,0.08423775
comb-opt-tsp-autoresearch-unlimited,session_01,42,Edit,0.04820715000000009
comb-opt-tsp-autoresearch-unlimited,session_01,43,TodoWrite,0.050272799999999895
comb-opt-tsp-autoresearch-unlimited,session_01,44,none,0.04723214999999992
